RelativePath,FunctionName,dep,dep_count,dexp,dexp_count
src/COPYRIGHT.c,print_copyright,[],0,['printf'],1
src/ckconfig.c,main,['getopt'],1,"['fprintf', 'printf']",2
src/authenticate.c,wu_authenticate,[],0,[],0
src/extensions.c,CheckSum,['fgets'],1,[],0
src/extensions.c,CheckSumLastFile,[],0,[],0
src/extensions.c,SetCheckMethod,[],0,[],0
src/extensions.c,ShowCheckMethod,[],0,[],0
src/access.c,access_init,[],0,[],0
src/access.c,access_ok,[],0,[],0
src/ftpd.c,ack,[],0,[],0
src/access.c,acl_autogroup,[],0,[],0
src/access.c,acl_countusers,['read'],1,[],0
src/access.c,acl_deny,[],0,[],0
src/access.c,acl_getclass,[],0,[],0
src/access.c,acl_getdefumask,[],0,[],0
src/access.c,acl_getlimit,[],0,[],0
src/access.c,acl_getnice,[],0,[],0
src/access.c,acl_guestgroup,[],0,[],0
src/access.c,acl_join,['read'],1,['write'],1
src/access.c,acl_realgroup,[],0,[],0
src/access.c,acl_remove,['read'],1,['write'],1
src/access.c,acl_setfunctions,[],0,[],0
src/access.c,acl_tcpwindow,[],0,[],0
src/ftpd.c,allowedgid,[],0,[],0
src/ftpd.c,alloweduid,[],0,[],0
src/glob.c,blkfree,[],0,[],0
src/extensions.c,check_newer,[],0,['fprintf'],1
src/extensions.c,checknoretrieve,[],0,[],0
src/routevector.c,checkports,[],0,[],0
src/ftpd.c,checkuser,['fgets'],1,[],0
src/conversions.c,conv_init,[],0,[],0
src/ftpd.c,cwd,[],0,[],0
src/extensions.c,cwd_beenhere,[],0,[],0
src/ftpd.c,dataconn,['signal'],1,[],0
src/extensions.c,del_check,[],0,[],0
src/sigfix.c,delay_signaling,[],0,[],0
src/ftpd.c,delete,[],0,[],0
src/ftpd.c,deniedgid,[],0,[],0
src/ftpd.c,denieduid,[],0,[],0
src/extensions.c,deny_badasciixfer,[],0,[],0
src/extensions.c,dir_check,[],0,[],0
src/ftpd.c,dologout,[],0,[],0
src/sigfix.c,enable_signaling,[],0,[],0
src/ftpd.c,end_login,[],0,[],0
support/getusershell.c,endusershell,[],0,[],0
src/extensions.c,expand_id,[],0,[],0
src/ftpd.c,fatal,[],0,[],0
src/realpath.c,fb_realpath,['getwd'],1,[],0
src/ftpd.c,fixpath,[],0,[],0
src/extensions.c,fn_check,[],0,[],0
src/popen.c,ftpd_pclose,['signal'],1,[],0
src/popen.c,ftpd_popen,['signal'],1,[],0
src/glob.c,ftpglob,[],0,[],0
src/acl.c,getaclentry,[],0,[],0
src/ftpd.c,getdatasock,[],0,[],0
support/getusershell.c,getusershell,[],0,[],0
src/ftpd.c,gunique,[],0,[],0
src/access.c,hostmatch,['fgets'],1,[],0
src/ftpd.c,initsetproctitle,[],0,[],0
src/extensions.c,is_shutdown,['fgets'],1,[],0
src/timeout.c,load_timeouts,[],0,[],0
src/ftpd.c,lostconn,[],0,[],0
src/ftpd.c,lreply,[],0,[],0
src/ftpd.c,makedir,[],0,[],0
src/extensions.c,msg_massage,['getwd'],1,[],0
src/ftpd.c,myoob,['signal'],1,[],0
src/ftpd.c,nack,[],0,[],0
src/extensions.c,newer,[],0,[],0
src/ftpd.c,opt_string,[],0,[],0
src/acl.c,parseacl,[],0,[],0
src/private.c,parsepriv,[],0,[],0
src/access.c,parsetime,[],0,[],0
src/ftpd.c,pass,[],0,[],0
src/ftpd.c,passive,[],0,[],0
src/extensions.c,path_compare,[],0,[],0
src/ftpd.c,perror_reply,[],0,[],0
src/access.c,pr_mesg,['fgets'],1,[],0
src/private.c,priv_gpass,[],0,[],0
src/private.c,priv_group,[],0,[],0
src/private.c,priv_setup,['fread'],1,[],0
src/ftpd.c,pwd,['getwd'],1,[],0
src/ftpd.c,randomsig,['signal'],1,[],0
src/acl.c,readacl,['fread'],1,[],0
src/ftpd.c,receive_data,"['signal', 'read', 'getc']",3,"['write', 'putc']",2
src/extensions.c,regexmatch,[],0,[],0
src/ftpd.c,removedir,[],0,[],0
src/ftpd.c,renamecmd,[],0,[],0
src/ftpd.c,renamefrom,[],0,[],0
src/ftpd.c,reply,[],0,[],0
src/restrict.c,restrict_check,[],0,[],0
src/restrict.c,restrict_list_check,[],0,[],0
src/ftpd.c,restrictedgid,[],0,[],0
src/ftpd.c,restricteduid,[],0,[],0
src/ftpd.c,retrieve,['getc'],1,['write'],1
src/routevector.c,routevector,[],0,[],0
src/ftpd.c,send_data,"['signal', 'getc', 'read']",3,"['putc', 'write']",2
src/ftpd.c,send_file_list,['signal'],1,['fprintf'],1
src/ftpd.c,setproctitle,[],0,[],0
src/paths.c,setup_paths,[],0,[],0
src/ftpd.c,sgetpwnam,[],0,[],0
src/ftpd.c,sgetsave,[],0,[],0
src/extensions.c,show_banner,['fgets'],1,[],0
src/extensions.c,show_message,"['getwd', 'fgets']",2,[],0
src/extensions.c,show_readme,['getwd'],1,[],0
src/ftpd.c,statcmd,[],0,[],0
src/ftpd.c,statfilecmd,['fgets'],1,[],0
src/ftpd.c,store,['getc'],1,['write'],1
support/strcasestr.c,strcasestr,[],0,[],0
src/restrict.c,test_restriction,['getwd'],1,[],0
src/extensions.c,type_match,[],0,[],0
src/ftpd.c,unrestrictedgid,[],0,[],0
src/ftpd.c,unrestricteduid,[],0,[],0
src/extensions.c,upl_check,[],0,[],0
src/ftpd.c,user,['gethostbyname'],1,[],0
src/ftpd.c,validate_eaddr,[],0,[],0
src/access.c,validtime,[],0,[],0
src/ftpd.c,vreply,[],0,['printf'],1
src/logwtmp.c,wu_logwtmp,[],0,['write'],1
src/realpath.c,wu_realpath,[],0,[],0
src/ftpd.c,yyerror,[],0,[],0
support/strerror.c,strerror,[],0,[],0
support/strstr.c,strstr,[],0,[],0
src/conversions.c,conv,[],0,[],0
src/conversions.c,parseconv,[],0,[],0
src/conversions.c,readconv,['fread'],1,[],0
support/strsep.c,strsep,[],0,[],0
src/wu_fnmatch.c,wu_fnmatch,[],0,[],0
src/ftpcount.c,acl_countusers,"['read', 'fgets']",2,['printf'],1
src/ftpcount.c,acl_getlimit,[],0,[],0
src/ftpcount.c,add_list,[],0,['perror'],1
src/ftpcount.c,main,"['getopt', 'fread']",2,"['fprintf', 'perror', 'printf']",3
src/ftpcount.c,new_list,[],0,['perror'],1
src/ftpcount.c,parsetime,[],0,[],0
src/ftpcount.c,validtime,[],0,[],0
support/snprintf.c,__builtin___snprintf_chk,[],0,[],0
src/extensions.c,allow_retrieve,[],0,[],0
support/ftw.c,ftw,[],0,[],0
support/sco.c,getwd,['getcwd'],1,[],0
support/ftw.c,treewalk,[],0,[],0
src/hard.loop.c,main,[],0,[],0
support/strdup.c,strdup,[],0,[],0
src/ftprestart.c,main,"['getopt', 'fgets']",2,"['fprintf', 'perror']",2
src/ftprestart.c,newfile,[],0,[],0
src/ftprestart.c,remove_shutdown_file,[],0,"['fprintf', 'perror']",2
src/getpwnam.c,bero_getpwnam,[],0,[],0
src/getpwnam.c,bero_getpwuid,[],0,[],0
src/getpwnam.c,fgetpwent,['fgets'],1,[],0
src/ftpshut.c,main,"['getopt', 'fread']",2,"['fprintf', 'perror', 'printf']",3
src/ftpshut.c,massage,[],0,[],0
src/ftpshut.c,newfile,[],0,[],0
src/ftpshut.c,shutdown_msgfile,[],0,"['perror', 'fprintf', 'printf']",3
src/glob.c,Gcat,[],0,[],0
src/glob.c,acollect,[],0,[],0
src/glob.c,addpath,[],0,[],0
src/glob.c,amatch,[],0,[],0
src/glob.c,any,[],0,[],0
src/glob.c,argcmp,[],0,[],0
src/glob.c,blkcpy,[],0,[],0
src/glob.c,blklen,[],0,[],0
src/glob.c,collect,[],0,[],0
src/glob.c,copyblk,[],0,[],0
src/glob.c,digit,[],0,[],0
src/glob.c,execbrc,[],0,[],0
src/glob.c,expand,[],0,[],0
src/glob.c,gethdir,[],0,[],0
src/glob.c,ginit,[],0,[],0
src/glob.c,letter,[],0,[],0
src/glob.c,match,[],0,[],0
src/glob.c,matchdir,['readdir'],1,[],0
src/glob.c,rscan,[],0,[],0
src/glob.c,sort,[],0,[],0
src/glob.c,strend,[],0,[],0
src/glob.c,strspl,[],0,[],0
src/glob.c,tglob,[],0,[],0
support/syslog.c,closelog,[],0,[],0
support/syslog.c,openlog,[],0,[],0
support/snprintf.c,__builtin___vsnprintf_chk,[],0,[],0
src/ftpd.c,alarm_signal,[],0,[],0
src/ftpd.c,dolog,['gethostbyaddr'],1,[],0
src/ftpd.c,draconian_alarm_signal,[],0,[],0
support/sco.c,initgroups,[],0,"['fprintf', 'perror']",2
src/ftpd.c,main,"['getopt', 'signal', 'gethostbyname']",3,[],0
src/ftpd.c,pasv_allowed,[],0,[],0
src/ftpd.c,port_allowed,[],0,[],0
support/sco.c,setegid,[],0,[],0
support/sco.c,seteuid,[],0,[],0
src/ftpd.c,socket_flush_wait,['read'],1,[],0
support/ftruncate.c,ftruncate,[],0,[],0
src/loadavg.c,getla,[],0,[],0
support/sco.c,setgid,[],0,[],0
support/sco.c,setuid,[],0,[],0
src/private.c,priv_getent,[],0,[],0
src/test.loadavg.c,main,[],0,['printf'],1
src/wu_fnmatch.c,rangematch,[],0,[],0
src/routevector.c,addportentry,[],0,[],0
src/routevector.c,addr_cmp,[],0,[],0
src/routevector.c,addr_smatch,[],0,[],0
src/routevector.c,addvectentry,[],0,[],0
src/routevector.c,find_passive_port_entry,[],0,[],0
src/routevector.c,find_passive_vect_entry,[],0,[],0
src/routevector.c,initportstruct,[],0,[],0
src/routevector.c,initportvectors,[],0,[],0
src/routevector.c,initvectstruct,[],0,[],0
src/routevector.c,makeportentry,[],0,[],0
src/routevector.c,makevectentry,[],0,[],0
support/ftw.c,chwalk,['readdir'],1,[],0
support/ftw.c,walk,['readdir'],1,[],0
support/getcwd.c,getcwd,['readdir'],1,[],0
support/getcwd.c,strnrcpy,[],0,[],0
support/glob.c,__glob_pattern_p,[],0,[],0
support/glob.c,globfree,[],0,[],0
support/glob.c,collated_compare,[],0,[],0
support/glob.c,glob,"['getenv', 'getlogin']",2,[],0
support/glob.c,glob_in_dir,[],0,[],0
support/glob.c,my_realloc,[],0,[],0
support/glob.c,next_brace_sub,[],0,[],0
support/glob.c,prefix_array,[],0,[],0
support/snprintf.c,dopr,[],0,[],0
support/snprintf.c,dopr_outch,[],0,[],0
support/snprintf.c,dostr,[],0,[],0
support/snprintf.c,fmtnum,[],0,[],0
support/snprintf.c,fmtstr,[],0,[],0
support/getusershell.c,initshells,['fgets'],1,[],0
support/getusershell.c,setusershell,[],0,[],0
support/vsnprintf.c,__builtin___vsnprintf_chk,[],0,[],0
util/gzip2cmp.c,main,[],0,"['fputs', 'perror']",2
support/sco.c,getcwd,['readdir'],1,[],0
support/sco.c,kmem_open,[],0,[],0
support/sco.c,setreuid,[],0,[],0
support/sco.c,setrgid,[],0,[],0
support/sco.c,setruid,[],0,[],0
support/sco.c,wrub,[],0,['write'],1
support/syslog.c,vsyslog,[],0,['send'],1
support/syslog.c,openlogfd,[],0,[],0
support/syslog.c,syslog,[],0,['vsyslog'],1
util/recompress.c,main,[],0,"['fputs', 'perror']",2
util/privatepw/privatepw.c,addrecord,['getpass'],1,"['printf', 'fprintf']",2
util/privatepw/privatepw.c,catchintr,[],0,['fprintf'],1
util/privatepw/privatepw.c,confirmed,['getc'],1,['printf'],1
util/privatepw/privatepw.c,getgroup,['getc'],1,"['fputs', 'fprintf']",2
util/privatepw/privatepw.c,list_privatefile,['fgets'],1,"['fprintf', 'printf', 'fputs']",3
util/privatepw/privatepw.c,main,"['getopt', 'signal', 'fgets']",3,"['fprintf', 'perror', 'printf', 'fputs']",4
util/privatepw/privatepw.c,savit,[],0,['fprintf'],1
util/privatepw/privatepw.c,terminate,[],0,[],0
util/privatepw/privatepw.c,to64,[],0,[],0
util/privatepw/privatepw.c,usage,[],0,['fprintf'],1
